Prompt,Dataset,Audio file,Caption,Entailment,Neutral,Contradiction,Full response
,ClothoV2,Thunder Storm Daytona 3.wav,"['A clap of thunder coupled with the running water.', 'The plants in the forest are being blown and thrashed by the winds.', 'The thunder begins to roar as the rain is drizzling.', 'The thunder begins to roar while rain is drizzling.', 'Water is running and a roar of thunder happens at the same time.']",There is a thunderstorm with both thunder and rainfall present.,A heavy rainstorm is taking place in a forest with occasional thunder claps.,A calm and sunny day with birds chirping in the forest.,
,ClothoV2,smoking in car.wav,"['A person trying to use a lighter multiple times to light a cigarette and then inhaling and coughing.', 'After the lighter clicks and lights the cigarette the man coughs.', 'Someone starts a lighter, lights a cigarette, takes a breath from the cigarette, and then coughs.', 'Striking the lighter, she lit the cigarette, pulled and began to cough.', 'The person tried a few times to light the cigarette with a lighter and he inhales and coughs.']","There are sounds of a lighter being struck multiple times, followed by the sound of inhalation and coughing.",A smoker struggles to ignite a lighter before successfully lighting a cigarette and coughing from the smoke.,Continuous flame sound from a lighter with no interruptions or coughing.,
,ClothoV2,Huston we have a problem (before &amp; after cleaning).wav,"['A female voice communicates over a static walkie-talkie.', 'Dispatcher and radio communication between people who are talking.', 'People are talking with each other using radio communication.', 'People are talking to each other on the radio.', 'Someone on the radio talking to another person.']",There is radio communication involving human voices.,Emergency services personnel are coordinating over a radio.,A live band is performing music on stage.,
,ClothoV2,Subping03.wav,"['A bell sound rings and echoes and slowly returns.', 'A small quiet mechanical reading or beeping similar to a radar.', 'A soft mechanical bleeping which is reminiscent of radar.', 'A sonar sound starting off strong then fading, to begin strong again and eventually quiet down.', 'Sonar is activated and its audio oscillates between strong and weak signals.']",There is a repeating mechanical sound with varying intensity.,A submarine is using sonar to navigate underwater.,A group of people is conversing in a noisy environment.,
,ClothoV2,sheep on pasture.wav,"['A baby lamb baaing and an adult lamb baaing while walking through grass.', 'A human mimics a lamb as it bleats.', 'A lamb bleating while a human mimics it.', 'Sheep bleat while birds chirp in the background.', 'Sheep call out while birds chirp in the background.']",The audio includes sheep vocalizations and bird calls.,A person is attempting to imitate the bleating of sheep amidst nature sounds.,The recording features a busy urban environment.,
,ClothoV2,je_footstepsCement.wav,"['A person walks on a scratchy surface in a frequent manner', 'A person wearing slides is dragging their feet while they walk.', 'Someone is walking down a sidewalk and dragging their feet a little bit.', 'Someone walking down a sidewalk and dragging their feet a little bit.', 'Someone walks by wearing flip flops as they clack and scrape along the sidewalk.']",A person is walking on a hard surface with footwear that makes a scraping sound.,A person in flip flops is walking leisurely on a textured pavement.,A group of people are running on a soft grassy surface.,
,ClothoV2,Geroezemoes.wav,"['A great number of people of all sorts of ages converse with each other, including a small child.', 'A group of people are having breakfast together in a cafeteria.', 'A group of people eat breakfast together at a table in the cafeteria.', 'A group or crowd of people speaking and shouting.', 'A large of group of people composed of different ages talk to each other including a toddler.']",A diverse group of people are gathered and conversing in a communal space.,Families with children are enjoying a communal breakfast in a bustling cafeteria.,A quiet library with individuals studying in silence.,
,ClothoV2,paper01.wav,"['A book being flipped through over and over.', 'A books whose page keeps being turned over.', 'Flipping through a book to put emphasis on the movement of the paper.', 'Some flipping the pages of a book with large leaves', 'Someone flipping the large leaf pages of a book.']",The sound of pages being turned in a book.,A person is quickly browsing through a magazine with thick pages.,A choir singing in a large hall.,
,ClothoV2,0400 Traffic_police.wav,"['A car idling then somebody blowing a whistle while motorcycles pass by', 'A person blows a whistle at a busy city intersection.', 'A person blows a whistle at a busy intersection.', 'Several cars drive along a road while a police officer directs traffic.', 'Several cars driving on a road and a whistle is sounding.']",Traffic and a whistle sound at a busy intersection.,A traffic officer is whistling to manage the flow of cars and motorcycles at an intersection.,A quiet room with a solitary whistle blow and no background noise.,
,ClothoV2,"Crowd ambience, eating popcorn.wav","['A short distance away, a group of people engage in indistinguishable chatter.', 'As time goes on, the bustling crowd chatter resonates.', 'Many people were moving and discussing inside of a large hall.', 'The activity of crowd chatter resonates as time goes on.', 'people are talking loudly in the background indistinguishably']",The recording captures a crowd of people conversing in a reverberant space.,The audio includes the sound of a busy indoor public space like a train station or market.,A single person is giving a speech in a quiet room.,
,ClothoV2,"Walking in a park, on gravel (wind) - Athens National Botanical Garden.wav","['A person was walking on a sidewalk adjacent to a school, where children were playing on the playground.', 'As the wind begins to blow, background sounds like metal clanking and children screeching arise.', 'From outside the laundromat someone watches the clothes go round and round in the dryer', 'Metal clanks as the wind blows and the voices of children are screeching way in the background.', 'Someone walking down a sidewalk next to a school with kids on the playground playing.']","The recording captures a person walking outside near a school with the ambient sounds of wind, children playing, and occasional metallic noises.",A parent is picking up their child from school while the wind stirs up the playground and nearby metallic structures.,The recording is set in a quiet library with only the sound of pages turning.,
,ClothoV2,Fan_Ventilation_Stereo 4.wav,"['A large industrial machine was whirring inside of a room.', 'A large industrial machine whirring inside of a room.', 'A loud mechanical whir is quite muffled by a distant nature sound.', 'A small engine runs with a small fan of a vehicle similar to a car.', 'Industry equipment being utilized inside a company warehouse']",An industrial machine is operating indoors with a faint background of environmental noise.,A forklift is moving around in a warehouse with a faint sound of birds chirping outside.,A quiet office space with the gentle hum of a computer.,
,ClothoV2,Cicadas and birds in a hot summer noon.wav,"['Animals and insects are making their usual sounds in a meadow.', 'Birds chirping outside while people are talking in the background.', 'In a jungle, a flock of birds chirp among the flowing river.', 'In the distance, different birds chirped at different times.', 'The jungle with a lot of birds chirping, and potentially a river or waterfall nearby.']",Birds are chirping in a natural outdoor environment with water sounds and possibly human voices in the distance.,"In a lush outdoor setting, a variety of birds are singing with the murmur of a crowd and the sound of running water.",A silent room with no signs of animal or water activity.,
,ClothoV2,150209 Trevor Webb Beard Trimming.wav,"['A hair trimmer being used to cut hair.', 'A pair of hair clippers is cutting through hair.', 'The hair of a person is being cut with a hair trimmer.', 'The buzz of an electric razor cutting the hair of someone.', 'The buzzing of an electric razor, as someone receives a hair cut.']",The sound of hair being cut by an electric hair-cutting tool.,A barber is styling a client's hair with an electric hair trimmer.,A silent room where no hair cutting is taking place.,
,ClothoV2,16_Rain_Light_Ocean_44_16.wav,"['A camp fire crackles as the flames burn branches and leaves.', 'A camp fire is crackling as it burns up branches and leaves.', 'A whir close by and cracking occurs because of a small fire.', 'A whir nearby and then cracking is apparent from a small fire.', 'The rain is falling and dripping without other noise.']","There is a crackling sound from a fire burning organic material, accompanied by a whirring noise.",A small campfire is crackling and hissing as rain falls gently around it.,The sound is dominated by heavy machinery operating in a factory setting.,
,ClothoV2,160718 HSN boy on tricycle passing by.wav,"['A lot of noise is coming from a factory engine.', 'A person shredding paper in a paper shredder.', 'A shredder is on and a person puts a charge card into the shredder.', 'Someone is playing with a remote control car', 'a factory engine is making a lot of noise']","There is a mechanical device operating, likely a shredder, in an environment with significant background noise, possibly from a factory engine.","A person is actively using a mechanical shredder in a noisy industrial setting, and may be shredding various items including paper or plastic.",A quiet office environment where someone is manually cutting paper with scissors.,
,ClothoV2,remix of 130879__frederic-font__05-hang-song-1.wav,"['An upbeat melody of music is repeatedly playing.', 'Multiple phase music is being played with a rhythmic beat.', 'Music is being played with a steady beat.', 'Someone playing an instrument at a constant rate and tune.', 'an upbeat music melody is playing over and over again']",Music with a consistent rhythm is playing.,A band is performing an upbeat song with a steady rhythm.,A variety of different musical tracks are being played simultaneously.,
,ClothoV2,2 Gardener - May 2013 - Take01 - ZOOM H2n.wav,"['A hand held sander was used as various speeds.', 'A power tool is being used to cut grass.', 'A weed whacker trimming edges from a lawn.', 'A weed whacker trims the edges of a lawn.', 'Someone is operating a weed eater power tool.']",A power tool is being used outdoors.,A landscaper is grooming a garden with a power tool.,Garden shears are trimming hedges manually.,
,ClothoV2,fridaynight.wav,"['A siren sounds in the distance as heavy traffic rumbles by and a street performer starts playing.', 'Apparatus running and a melodic instrument being played in the meantime.', 'Traffic roars, a distant siren sounds, and a street performer plays music.', 'someone is playing the trumpet as cars and people are passing by', 'someone is playing the trumpet while cars and people are passing by']",Traffic and a street performance involving a trumpet are audible in an urban environment.,A trumpet player is entertaining a crowd amidst the bustle of city traffic and emergency sirens.,A quiet room with only the sound of a trumpet playing softly.,
,ClothoV2,ClockTicking.wav,"['A machine is making a loud clicking noise.', 'A pendulum moves back and forth and a pendulum ticks.', 'A pendulum ticks as it moves back and forth.', 'The machine is making a loud clicking noise.', 'the ticktocking of a loud clock in the foreground']","There is a repetitive ticking sound, likely from a mechanical device.",A large grandfather clock is ticking loudly in a quiet room.,A group of people are having a conversation in a bustling cafe.,
,ClothoV2,Running.wav,"['Chains are rattling while a horse is moving, then a man coughs.', 'Slow first, then quickening, horse feet and the jangle of their harness pass along, followed by a light cough.', 'Someone is running with their keys just a jingling and then coughs.', 'With increasing speed, the trotting of horse feet and the jangle of their equipment pass by, followed by a cough.', 'chains are rattling, as horse is moving, then man coughs']",Sounds of chains and horse movement are followed by a cough.,A horse pulling a carriage is passing by and someone coughs in the background.,A quiet room with no movement or coughing is present.,
,ClothoV2,opening and closing a loft door.wav,"['A man moves from the basement to upstairs, moving a heavy metal object with him.', 'Somebody slides open a heavy object or doorway, then continues walking.', 'Someone closes the garage door and then walks upstairs.', 'Someone slowly slides open a heavy screen door and then proceeds to walk down the hallway.', 'wooden rod beating sound and pushing some heavy material sound']",A person is moving a heavy object in an indoor environment.,"A man is moving furniture inside a house, causing various dragging and impact sounds.",Quiet footsteps walking on soft grass outside.,
,ClothoV2,Breaking Glass .wav,"['A person shatters multiple glass objects, and then bangs on things.', 'Breaking glass, maybe a bottle, eight pieces of window or a conservatory with repetitive strikes on the glass objective', 'Plates break loudly as they are dropped to the floor.', 'The tinkling glass sounds after bottles are thrown and broken.', 'the sound of glass breaking and falling onto the floor']",The sound of glass objects being broken.,A person is intentionally breaking glassware in a series of actions.,A quiet room with no movement or disturbance.,
,ClothoV2,arsta.wav,"['Storm wind blows in the dense forest and makes a peaceful sound.', 'Storm wind blows in the dense forest very nice sound', 'The wind is so strong, it is blowing at a high altitude.', 'Wind and rain point to signs of a hurricane.', 'Wind is blowing and bursting at a high altitude.']","There is a strong wind present, possibly with rain, in a forested area.",The recording captures the onset of a storm with wind and rain in a woodland setting.,Calm weather conditions prevail in an urban environment.,
,ClothoV2,Dog splashing in a lake.wav,"['A dog jumped into the water and swim and then came out panting, it shook its body', 'A dog pants, jumps in water, and shakes the water off.', 'A dog wearing a chain collar runs towards a pool, swims through it, and returns, then shakes the water off.', 'A dog with chain collar runs towards a pool, swims through and returns to shake the water off.', 'Jumping into the water to swim, the dog came out panting and shook his body.']",A dog engages in a water activity and exhibits behaviors such as panting and shaking.,A playful dog retrieves a toy from the water and shakes off upon exiting.,"A quiet cat lies by a sunny window, undisturbed and at rest.",
,ClothoV2,20100402.Brugge.street.04.wav,"['A group is in a carriage that is being drawn by a horse on a paved road.', 'A group of people socializing and a horse trotting in the background.', 'A throng of people are socializing as a horse trots by in the background.', 'Several people talking and laughing, with a horse passing along in the background.', 'Several people were talking and laughing, with a horse is passing by along in the background.']","A social gathering with people conversing, accompanied by the sound of a horse trotting on a hard surface.",A group of friends enjoying a ride in a horse-drawn carriage on a cobblestone street.,A quiet library room with a horse quietly standing in the corner.,
,ClothoV2,DOOR_sliding_fthrll.wav,"['A loud foot stomp interrupts the rhythmic use of the old adding machine.', 'A mechanical device is being rattled loose while making plastic noises and thuds.', 'An old adding machine clattering and a foot striking against a hard floor.', 'Someone closing drawers of folders being pushed back.', 'mechanical device being rattled lightly with plastic noises and thuds.']","Sounds of a mechanical device, likely an adding machine, being operated with accompanying thuds.","An individual is working in an office, using an old adding machine and organizing drawers.",A group of people is clapping hands rhythmically in a concert.,
,ClothoV2,20110220_river.wav,"['A boat rises above the large waves while a person yells something.', 'Background voices were present during the wind furiously and continuously rustled and blew.', 'It is easy to sleep when a lot of rain from a storm hits the top of a country roof.', 'People are floating down a river in a plastic boat while talking to each other.', 'Water running over a waterfall with a frog croaking in the background.']",There are sounds of water and human voices present.,A group of people are engaging in water activities during a stormy weather.,Individuals are quietly observing wildlife in a calm desert setting.,
,ClothoV2,20130723_Rain1.wav,"['A car honks from the midst of a rainstorm.', 'A vehicle comes to a stop and idles with clunking sound before multiple honks and yells interfere.', 'Rain from a rainstorm is hitting surfaces and a car honks', 'Rain hitting the ground before and after two vehicles honk their horns and a man hollers in the background.', 'The rain is coming down hard and a horn blows in the distance.']",The sound of rain with occasional car honking and a person shouting can be heard.,A traffic altercation occurs during a heavy rainstorm with honking and shouting.,A quiet snowfall with no signs of vehicles or people.,
,ClothoV2,SFX_001.wav,"['Beautiful pipe organ music is played before trailing off into silence.', 'It is a peaceful instrumental keyboard melody with bell sounds.', 'Pipe organ music, beautifully played then trails off into silence', 'Unknown musical tones coming from some kind of electric musical instrument.', 'a dull instrumental keyboard melody with bell sounds']",An instrumental melody with organ and bell-like sounds is played.,A musician performs a melodic piece on a synthesizer with pipe organ and bell presets.,A rock band is performing a loud electric guitar-driven song.,
,ClothoV2,steel water.wav,"['A person tapping a hollow brass bell indoors.', 'A person taps a brass bell while inside.', 'Different type of vessels are beaten with a stick to give different noise', 'Different type of vessels are beaten with a stick to give different noise effects.', 'Someone plays music on an metal musical instrument or device.']",A person is striking a metallic object that produces a resonant sound indoors.,A musician is performing a solo on a metallic percussion instrument in a room.,A group of people are clapping hands at an outdoor concert.,
,ClothoV2,A swing is squeaking at night. (Ukraine.wav,"['A high pitched wind instrument is played over and over the notes make a high pitched squeal.', 'A person plays the wind instrument making sharp shrill sounds terrible to listen to.', 'As a bus is moving, someone plays a flute.', 'Someone was playing flute in a moving bus', 'The flutist tunes his instrument before beginning to play.']","A flutist is playing a high-pitched, shrill tune on a wind instrument.",A street musician is performing a solo flute piece on a moving bus.,A choir is singing harmoniously in a concert hall.,
,ClothoV2,Lively Forest Stream (loop).wav,"['A river flows and water trickles down the rocks.', 'As the river flows, water trickled down the rocks.', 'Raining really hard, street flooded, it did not look like going to stop.', 'Water drips slowly an continuously as a video is playing.', 'Water trickles down the rocks as the river flows.']",Sound of flowing water and trickling water over rocks is evident.,A video captures a heavy rainstorm causing a river to overflow.,A quiet room with intermittent drips of water from a leaky faucet.,
,ClothoV2,Bangles put on arm.wav,"['A crystal and metal big lamp is being hung.', 'Metal balls hitting each other while they are being dropped into a glass bowl', 'Metallic, distinguished objects are being put in place.', 'Small metal balls are hitting each other while they are being dropped into a glass bowl', 'a metal object is clashing with other metals.']",Metal objects are colliding together.,A metal chandelier with crystal elements is being assembled.,Wooden objects are being stacked together.,
,ClothoV2,AMB_Supermarket_BCN.wav,"['A cashier at a grocery store scanning items.', 'A grocery store clerk is scanning some items of food.', 'A grocery store clerk scanning some items of food.', 'A scanner beeps as items are being run along it.', 'At a grocery store, a cashier is scanning items.']",Sounds of a grocery store checkout process.,A cashier is scanning items and placing them into bags.,A quiet library with no distinct activity.,
,ClothoV2,Pig - Multiple Snorts 6 (2 pigs) - 96kHz.wav,"['A farm has several oinking hogs in it.', 'A few pigs are oinking while a child is speaking in the background.', 'A lot of pigs oinking in the background', 'Hogs oinking in an enclosure with faint noises of people talking in the background.', 'Pigs oinking while people chatter in the background.']",There are pigs vocalizing with people conversing in the distance.,Children are playing on a farm where pigs are oinking.,The recording is in a quiet library with no animal sounds.,
,ClothoV2,Anti Air Gun (3 Sounds).wav,"['A gun starts shooting continuously, a second and third gun join in after a few seconds.', 'A single gun being to shoot repeatedly and is shortly followed by a second and third gun.', 'Pounding slowly then at a solid pace similar to rapid gunfire.', 'Three people are playing video games and firing machine guns.', 'different gun shot constantly and another set of gun shot back']",Multiple gunshots are heard in succession.,A scene from an action movie with intense gunfire is playing.,A quiet library with people reading.,
,ClothoV2,City Ambience w_ Car Passing_1-2.wav,"['A truck drives down a road before fading into the distance.', 'A truck driving down the road before disappearing.', 'A vehicle has drove past a quiet environment .', 'An engine rumbles, splutters slightly and fades into the distance as it passes.', 'An engine splutters and rumbles slightly and fades into the distance as it passes.']",A vehicle engine is heard moving and fading away in a quiet area.,A truck is shifting gears as it travels down a quiet country road.,The sound of a stationary engine revving in a busy urban setting.,
,ClothoV2,Goin wee wee.wav,"['A person noisily uses and then flushes a toilet.', 'Someone first noisily uses, then flushes a toilet.', 'Someone urinated into the water closet and flushed it', 'Someone was urinating into the toilet with water and then flushed it.', 'Water slowly drips before moving into large splashes before a giant flush.']",The recording involves a person using a toilet and then flushing it.,The sounds include bathroom acoustics with water flowing and a toilet being flushed.,The recording captures the continuous flow of a stream with no human activity.,
,ClothoV2,Car_Driveby_Ford Fiesta_Puddles-Mud-Gravel.wav,"['A car engine getting louder and tires moving over crunching gravel.', 'A car rides down a gravel driveway, gains speed and exits onto the street.', 'A car riding down a gravel driveway, gains speed and moves onto the street.', 'A vehicle is maneuvering on gravel and then drives away.', 'A vehicle maneuvers on gravel before driving away.']",A vehicle accelerates over gravel before driving off.,A driver is navigating a gravel driveway before joining traffic.,A cyclist is riding over a gravel path in the park.,
,ClothoV2,Baby crying slowed down.wav,"['A creature grunts like human, mumbles as time progresses.', 'A person is struggling in distress and making noises gasping for air.', 'A person is struggling in distress and making noises to gasp for air.', 'Human vocal chords are poorly imitating a farm animal.', 'Human vocal chords imitate a farm animal poorly.']",There are sounds of a human attempting to mimic an animal.,Someone is playfully pretending to be an animal in distress.,A real farm animal is making natural sounds.,
